Hotel Name,Address,Area,City,District,State,Pincode,Latitude,Longitude
Sivashankaran homes,"S.F.No. 56/1A, Sri Mahan Seshadhri Nagar ",KOSALAI,Tiruvannamalai,TIRUVANNAMALAI,Tamil Nadu,606604,12.258125379035597,79.05420336441783
Maaya Farm Stay,Kalkundu karadu,ALLINAGARAM,Theni,THENI,Tamil Nadu,625531,10.031809637022613,77.45005167155011
Le Grace Inn (Iyyer Bungalow),"687,Baharath Nagar",NATHAM RD,Madurai,MADURAI,Tamil Nadu,625014,9.971576842428647,78.13924465196439
Le Grace Residency,"3, Covelong",TIRUPORUR,Chennai,CHENNAI,Tamil Nadu,603112,12.787737993692941,80.2495301881762
TKP Palani Parvathiyammal Lodge,"No: 4/3,Gandhi Road",STUARTPET,Arakkonam,RANIPET,Tamil Nadu,631001,13.087037525446767,79.66306329999998
Green Tree Hotel,"No 538-536, Anna Salai",TEYNAMPET,Chennai,CHENNAI,Tamil Nadu,600018,13.042277933220848," 80.24732777301507"
Hotel Jubilant stays ,"Plot No. 47, 48, Rammurthy Nagar main road ",RAMAMURTHY NAGAR,Bangalore,BENGALURU,Karnataka,560016,13.014366125443651,77.66768888465492
Skyry Hotels Adyar,"72, Damodharapuram Main Rd",ADYAR,Chennai,CHENNAI,Tamil Nadu,600020,13.00125102493124,80.26283618131262
Hotel Wood Stone,"No 786,Dooravani Nagar",TIN FACTORY,Bangalore,BENGALURU,Karnataka,560016,12.998433198776493,77.67122995767254
Curlie's Green House,"St. Micheal Monteiro Vaddo, ",ANJUNA,VAGATOR,GOA,Goa,403509,15.572246367802522,73.74646827116382
Visthara Inn,NH 44,DHIVIYAM SQUARE,Sundagiri,KRISHNAGIRI,Tamil Nadu,635117,12.646436039929313,78.04660453558216
Hotel Tricolors,127 Rajaji road ram nagar,GANDHIPURAM,Coimbatore,COIMBATORE,Tamil Nadu,641009,11.016694758922212,76.9631809779109
R.Ve.R Residency,"No 22, Karpagam Nagar",LAKSHMI NAGAR,Thanjavur,THANJAVUR,Tamil Nadu,613005,10.747044280154398,79.11360868650881
Hotel Maruthi,"144a, Saravanakumar, Subramaniam Rd, Gandhi Park, R.s Puram Venkata Krisnan, Road",R.S. PURAM,Coimbatore,COIMBATORE,Tamil Nadu,641002,11.002974702584497,76.95001503558218
M.G.R Park Inn,"NO.3 KAVERI STREET HIGHWAY NAGAR, COLLECTOR OFFICE OPPOSITE,",VILLUPURAM,Villupuram,VILUPPURAM,Tamil Nadu,605602,11.932876918428896,79.48499509325427
Grand Continent Hotel,DPS Road,SHOBHAGPURA,Udaipur,UDAIPUR,Rajasthan,313001,24.60677574057251,73.71587302883634
Green Park," 391,15th St, Phase 1, Phase 2",SATHUVACHARI,Sathuvachari,VELLORE,Tamil Nadu,632009,12.93292357689975,79.14435508650755
S. S. Residency,"#10-2-12, 80 FEET Rd, Near By Main Road",GAJUWAKA,Visakhapatnam,VISAKHAPATNAM,Andhra Pradesh,530026,17.6846072647064,83.20477697016716
Grand Continent Hotel,"F949+GHW, Laxmi Cyber City Ln, Laxmi Cyber City",KONDAPUR,Hyderabad,HYDERABAD,Telangana,500084,17.456606546464226,78.36894734232729
Abode By Brown Tree Ressorts,"14F,Arni House Road",KIL KODAPPAMUND,Ooty,NILGIRIS (OOTY),Tamil Nadu,643002,11.416490732831047,76.71897117507474
GVR Guest Rooms,"17/1, 1st Cross Rd",ARUNDELPET,Guntur,GUNTUR,Andhra Pradesh,522002,16.307743254480883,80.43789502265099
Hotel Vinayak Suites,"60, Geetha Hall Rd",GOPALAPURAM,Coimbatore,COIMBATORE,Tamil Nadu,641048,10.998005908929683,76.97025325185223
